ID_REF	VALUE
ENSG00000201674_st	0.93
ENSG00000201674_x_st	0.21
ENSG00000201701_st	0.81
ENSG00000201701_x_st	0.29
ENSG00000201710_st	0.67
ENSG00000201710_x_st	0.61
ENSG00000201733_st	0.91
ENSG00000201733_x_st	0.96
ENSG00000201791_st	0.78
ENSG00000201791_x_st	1.49
ENSG00000201807_st	0.59
ENSG00000201807_x_st	0.95
ENSG00000201809_st	0.61
ENSG00000201810_st	0.65
ENSG00000201810_x_st	0.41
ENSG00000201811_st	0.62
ENSG00000201816_st	1.20
ENSG00000201827_st	1.20
ENSG00000201827_x_st	0.75
ENSG00000201847_st	0.28
ENSG00000201847_x_st	0.59
ENSG00000201853_st	0.77
ENSG00000201863_st	1.79
ENSG00000201863_x_st	1.75
ENSG00000201882_st	0.55
ENSG00000201882_x_st	0.53
ENSG00000201898_x_st	0.61
ENSG00000201944_st	0.60
ENSG00000201944_x_st	0.62
ENSG00000201945_st	0.99
ENSG00000201957_st	0.96
ENSG00000201957_x_st	0.90
ENSG00000201980_st	0.70
ENSG00000202023_st	0.44
ENSG00000202023_x_st	0.70
ENSG00000202059_st	0.59
ENSG00000202059_x_st	0.63
ENSG00000202183_st	0.79
ENSG00000202189_x_st	0.52
ENSG00000202216_st	1.31
ENSG00000202216_x_st	0.57
ENSG00000202231_st	0.97
ENSG00000202231_x_st	0.35
ENSG00000202233_st	1.09
ENSG00000202252_st	0.17
ENSG00000202268_st	0.62
ENSG00000202268_x_st	0.89
ENSG00000202269_st	0.51
ENSG00000202269_x_st	0.35
ENSG00000202275_st	0.59
ENSG00000202275_x_st	0.78
ENSG00000202283_st	0.48
ENSG00000202283_x_st	0.53
ENSG00000202335_st	0.27
ENSG00000202335_x_st	0.12
ENSG00000202343_st	0.38
ENSG00000202374_st	1.24
ENSG00000202377_st	0.33
ENSG00000202379_st	0.85
ENSG00000202389_st	0.67
ENSG00000202434_st	0.65
ENSG00000202434_x_st	1.29
ENSG00000202440_x_st	0.76
ENSG00000202449_st	0.23
ENSG00000202479_st	0.40
ENSG00000202479_x_st	0.56
ENSG00000202482_st	0.74
ENSG00000202482_x_st	0.66
ENSG00000202498_st	7.70
ENSG00000202498_x_st	6.42
ENSG00000202517_st	1.65
ENSG00000202517_x_st	0.58
ENSG00000202537_st	-0.07
ENSG00000202537_x_st	0.50
ENSG00000206592_st	0.85
ENSG00000206603_s_st	0.94
ENSG00000206603_st	0.47
ENSG00000206603_x_st	0.98
ENSG00000206637_x_st	1.19
ENSG00000206647_st	0.31
ENSG00000206649_st	0.39
ENSG00000206649_x_st	0.33
ENSG00000206661_st	0.58
ENSG00000206661_x_st	0.61
ENSG00000206731_st	1.66
ENSG00000206761_st	0.83
ENSG00000206761_x_st	0.70
ENSG00000206776_st	0.52
ENSG00000206776_x_st	0.86
ENSG00000206780_st	0.53
ENSG00000206780_x_st	1.04
ENSG00000206785_s_st	1.02
ENSG00000206849_st	1.66
ENSG00000206849_x_st	0.17
ENSG00000206853_st	0.82
ENSG00000206853_x_st	0.38
ENSG00000206878_st	0.89
ENSG00000206886_st	0.82
ENSG00000206886_x_st	1.11
ENSG00000206897_st	0.67
ENSG00000206897_x_st	0.54
ENSG00000206898_st	0.35
ENSG00000206901_st	1.12
ENSG00000206901_x_st	0.72
ENSG00000206903_s_st	0.57
ENSG00000206903_st	0.80
ENSG00000206903_x_st	0.95
ENSG00000206909_x_st	0.37
ENSG00000206913_s_st	1.33
ENSG00000206913_st	0.95
ENSG00000206947_st	1.10
ENSG00000206947_x_st	1.18
ENSG00000206958_st	0.87
ENSG00000206958_x_st	0.50
ENSG00000206961_st	0.82
ENSG00000206976_st	1.07
ENSG00000206977_st	0.72
ENSG00000206977_x_st	1.04
ENSG00000206987_s_st	0.66
ENSG00000207002_st	2.65
ENSG00000207002_x_st	2.19
ENSG00000207022_st	0.67
ENSG00000207027_st	1.90
ENSG00000207027_x_st	1.38
ENSG00000207062_s_st	0.74
ENSG00000207084_st	0.48
ENSG00000207084_x_st	0.42
ENSG00000207094_x_st	0.97
ENSG00000207098_st	8.02
ENSG00000207098_x_st	6.37
ENSG00000207100_st	0.77
ENSG00000207100_x_st	1.16
ENSG00000207109_st	0.61
ENSG00000207109_x_st	0.76
ENSG00000207118_st	1.67
ENSG00000207118_x_st	0.64
ENSG00000207119_st	0.48
ENSG00000207130_s_st	0.93
ENSG00000207130_st	1.08
ENSG00000207130_x_st	0.65
ENSG00000207147_st	0.84
ENSG00000207171_st	0.50
ENSG00000207171_x_st	1.45
ENSG00000207177_st	0.46
ENSG00000207187_s_st	1.33
ENSG00000207199_st	0.54
ENSG00000207199_x_st	0.48
ENSG00000207215_st	0.97
ENSG00000207217_st	2.03
ENSG00000207217_x_st	1.20
ENSG00000207244_st	0.46
ENSG00000207244_x_st	0.52
ENSG00000207249_st	0.95
ENSG00000207249_x_st	1.01
ENSG00000207274_x_st	0.91
ENSG00000207299_st	0.84
ENSG00000207344_s_st	1.19
ENSG00000207407_st	0.31
ENSG00000207410_x_st	0.97
ENSG00000207419_st	0.73
ENSG00000207430_s_st	0.77
ENSG00000207432_s_st	0.33
ENSG00000207444_st	0.09
ENSG00000207444_x_st	0.71
ENSG00000207502_st	0.96
ENSG00000207502_x_st	1.49
ENSG00000207503_st	0.48
ENSG00000207516_st	1.03
ENSG00000207516_x_st	1.21
ENSG00000208308_x_st	1.33
ENSG00000212134_x_st	0.70
ENSG00000212144_st	0.68
ENSG00000212145_st	0.43
ENSG00000212148_st	0.69
ENSG00000212148_x_st	1.09
ENSG00000212149_x_st	0.86
ENSG00000212161_st	0.61
ENSG00000212161_x_st	0.69
ENSG00000212165_st	0.95
ENSG00000212165_x_st	0.08
ENSG00000212168_st	0.34
ENSG00000212168_x_st	0.79
ENSG00000212175_st	0.76
ENSG00000212175_x_st	1.03
ENSG00000212181_st	1.08
ENSG00000212181_x_st	1.17
ENSG00000212182_st	0.30
ENSG00000212187_st	0.54
ENSG00000212191_st	0.33
ENSG00000212195_st	0.31
ENSG00000212206_st	0.73
ENSG00000212206_x_st	0.32
ENSG00000212211_st	0.49
ENSG00000212214_st	0.93
ENSG00000212214_x_st	0.87
ENSG00000212224_st	0.61
ENSG00000212224_x_st	0.48
ENSG00000212228_st	0.61
ENSG00000212229_st	0.45
ENSG00000212249_st	0.52
ENSG00000212249_x_st	0.41
ENSG00000212264_st	0.83
ENSG00000212264_x_st	1.11
ENSG00000212266_st	1.43
ENSG00000212270_st	0.83
ENSG00000212273_x_st	1.12
ENSG00000212277_st	0.53
ENSG00000212277_x_st	0.46
